Time	Fx	Fy	Fz	Mx	My	Mz
3.913000	-0.64441210	-0.16458821	-1.64710259	-0.20299618	-0.01103994	0.14084718
3.914000	-0.80884236	-0.00015786	0.65492189	0.38895288	-0.01103994	0.06685354
3.915000	-0.64441210	-0.00015786	0.32606116	0.24096578	-0.01103994	-0.00714012
3.916000	-0.47998178	-0.16458821	0.32606116	0.09297836	0.08761827	0.06685354
3.917000	-0.80884236	0.49313310	-0.00279956	-0.64695805	0.18627648	0.14084718
3.918000	-0.31555140	0.16427250	0.32606116	-0.35098350	0.28493470	0.06685354
3.919000	-0.97327274	0.32870275	0.32606116	-0.05500886	0.08761827	-0.00714012
3.920000	-0.64441210	0.16427250	0.65492189	-0.49897081	0.48225111	0.06685354
3.921000	-0.47998178	-0.32901844	-0.66052049	-0.35098350	0.18627648	0.14084718
3.922000	-0.97327274	-0.65787917	0.65492189	0.09297836	0.28493470	-0.00714012
3.923000	0.34216976	-0.00015786	-0.00279956	0.24096578	0.08761827	0.14084718
3.924000	-0.47998178	0.16427250	-0.33166027	-0.20299618	0.08761827	0.06685354
3.925000	-0.47998178	0.16427250	-0.66052049	-0.05500886	0.18627648	-0.08113378
3.926000	-0.47998178	-0.32901844	-0.33166027	-0.20299618	-0.20835623	-0.00714012
3.927000	-0.80884236	0.49313310	0.32606116	0.24096578	0.08761827	0.06685354
3.928000	-0.80884236	-0.16458821	0.98378259	0.24096578	0.08761827	0.06685354
3.929000	0.01330918	0.16427250	0.65492189	-0.20299618	-0.01103994	0.14084718
3.930000	-0.47998178	0.16427250	-0.66052049	0.53694022	0.18627648	0.14084718
3.931000	-0.97327274	0.65756345	-0.00279956	0.68492752	-0.10969816	-0.08113378
3.932000	-0.47998178	0.16427250	0.32606116	0.24096578	0.18627648	0.06685354
3.933000	-0.15112105	0.32870275	-0.33166027	0.38895288	-0.10969816	0.06685354
3.934000	-0.15112105	0.16427250	0.32606116	-0.35098350	0.18627648	0.06685354
3.935000	0.17773965	0.49313310	0.32606116	-0.49897081	0.18627648	0.21484083
3.936000	-0.47998178	0.65756345	0.98378259	0.68492752	-0.10969816	-0.15512739
3.937000	-0.31555140	0.32870275	0.65492189	0.24096578	0.18627648	-0.15512739
3.938000	-0.47998178	0.49313310	0.65492189	0.38895288	-0.01103994	-0.00714012
3.939000	-0.47998178	0.65756345	-0.33166027	-0.05500886	0.18627648	-0.08113378
3.940000	-0.31555140	0.49313310	-0.00279956	0.24096578	-0.10969816	0.14084718
3.941000	-0.64441210	0.49313310	0.65492189	0.53694022	-0.20835623	-0.00714012
3.942000	0.34216976	-0.00015786	0.98378259	-0.05500886	0.18627648	-0.00714012
3.943000	0.17773965	0.16427250	-0.33166027	-0.05500886	0.18627648	-0.00714012
3.944000	0.17773965	0.32870275	0.65492189	0.24096578	-0.01103994	-0.00714012
3.945000	0.34216976	0.49313310	0.98378259	-0.05500886	0.18627648	-0.00714012
3.946000	0.83546084	0.65756345	0.65492189	-0.35098350	0.18627648	0.06685354
3.947000	0.67103046	0.32870275	0.98378259	0.38895288	-0.20835623	-0.00714012
3.948000	0.50660014	0.16427250	-0.33166027	0.24096578	0.08761827	-0.00714012
3.949000	0.01330918	0.32870275	0.32606116	-0.05500886	0.28493470	-0.15512739
3.950000	-0.31555140	-0.00015786	0.65492189	-0.05500886	0.18627648	-0.15512739
3.951000	-0.31555140	1.15085435	-0.00279956	-0.05500886	-0.20835623	-0.22912106
3.952000	-0.15112105	-0.16458821	1.31264329	0.09297836	-0.01103994	-0.22912106
3.953000	0.01330918	0.32870275	0.65492189	0.38895288	-0.01103994	-0.22912106
3.954000	-0.31555140	0.65756345	1.31264329	0.09297836	-0.01103994	0.06685354
3.955000	0.17773965	0.82199377	0.65492189	0.53694022	-0.10969816	-0.15512739
3.956000	-0.15112105	0.65756345	0.65492189	0.09297836	0.28493470	-0.15512739
3.957000	0.01330918	0.82199377	0.98378259	0.24096578	-0.10969816	-0.37710831
3.958000	0.50660014	0.32870275	0.32606116	0.09297836	-0.01103994	0.06685354
3.959000	-0.15112105	0.98642403	-0.00279956	-0.05500886	0.08761827	-0.22912106
3.960000	0.01330918	0.49313310	1.31264329	-0.05500886	-0.01103994	0.06685354
3.961000	-0.64441210	0.98642403	0.65492189	0.38895288	0.08761827	-0.22912106
3.962000	0.17773965	0.98642403	-0.33166027	0.09297836	0.08761827	-0.08113378
3.963000	0.17773965	0.49313310	-0.00279956	0.38895288	-0.10969816	-0.15512739
3.964000	0.99989122	0.82199377	-0.00279956	-0.35098350	-0.10969816	-0.22912106
3.965000	0.50660014	0.82199377	0.32606116	-0.20299618	0.08761827	-0.30311471
3.966000	1.16432154	0.65756345	0.32606116	0.09297836	-0.10969816	-0.08113378
3.967000	0.50660014	0.49313310	0.32606116	0.09297836	-0.20835623	-0.30311471
3.968000	-0.15112105	0.65756345	1.64150405	0.24096578	-0.30701452	-0.22912106
